title,link
上海2022年4月17日，新增本土新冠肺炎确诊病例2417例 新增本土无症状感染者19831例 新增境外输入性新冠肺炎确诊病例3例 无新增境外输入性无症状感染者,http://wsjkw.sh.gov.cn/xwfb/20220418/5d14378ff19443cd82887f378e35066a.html
上海2022年4月15日，新增本土新冠肺炎确诊病例3590例 新增本土无症状感染者19923例 新增境外输入性新冠肺炎确诊病例4例 新增境外输入性无症状感染者2例,http://wsjkw.sh.gov.cn/xwfb/20220416/dfbb15a0fe3b401dbead8b10995b3431.html
上海2022年4月16日，新增本土新冠肺炎确诊病例3238例 新增本土无症状感染者21582例 新增境外输入性新冠肺炎确诊病例2例 无新增境外输入性无症状感染者,http://wsjkw.sh.gov.cn/xwfb/20220417/00308b74d3b74d9894cf8e7746ac6d3b.html
上海2022年4月10日，新增本土新冠肺炎确诊病例914例 新增本土无症状感染者25173例 新增境外输入性新冠肺炎确诊病例3例 治愈出院298例,http://wsjkw.sh.gov.cn/xwfb/20220411/f6021ae6ceb04596b4b8cde4c1e5511a.html
4月18日上海新增本土新冠肺炎确诊病例3084例（含既往无症状感染者转为确诊病例974例），本土无症状感染者17332例，实际新增本土阳性感染者19442例 无新增境外输入性新冠肺炎确诊病例 新增境外输入性无症状感染者2例,http://wsjkw.sh.gov.cn/xwfb/20220419/2359900232d1440388ca8a482173e22c.html
上海2022年4月11日，新增本土新冠肺炎确诊病例994例 新增本土无症状感染者22348例 新增境外输入性新冠肺炎确诊病例4例 新增境外输入性无症状感染者1例 治愈出院391例,http://wsjkw.sh.gov.cn/xwfb/20220412/eaf942f663204853826ee6fc29abbeb8.html
上海2022年4月9日，新增本土新冠肺炎确诊病例1006例 新增本土无症状感染者23937例 新增境外输入性新冠肺炎确诊病例9例 新增境外输入性无症状感染者2例 治愈出院227例,http://wsjkw.sh.gov.cn/xwfb/20220410/95b812b6e8a649b49aca8382051957bf.html
上海2022年4月4日，新增本土新冠肺炎确诊病例268例 新增本土无症状感染者13086例 新增境外输入性新冠肺炎确诊病例3例 新增境外输入性无症状感染者2例 治愈出院27例,http://wsjkw.sh.gov.cn/xwfb/20220405/c80df81fd8904247a218904b8b4a124f.html
上海2022年4月13日，新增本土新冠肺炎确诊病例2573例 新增本土无症状感染者25146例 无新增境外输入性新冠肺炎确诊病例 新增境外输入性无症状感染者1例 治愈出院741例  解除医学观察15406例,http://wsjkw.sh.gov.cn/xwfb/20220414/083cc562d92d4641b8acf1eccaf38420.html
上海2022年4月7日，新增本土新冠肺炎确诊病例824例 新增本土无症状感染者20398例 新增境外输入性新冠肺炎确诊病例4例 新增境外输入性无症状感染者3例 治愈出院57例,http://wsjkw.sh.gov.cn/xwfb/20220408/779c3f24bc7e4f1fb3fef52dbfb51156.html
上海2022年4月8日，新增本土新冠肺炎确诊病例1015例 新增本土无症状感染者22609例 新增境外输入性新冠肺炎确诊病例2例 新增境外输入性无症状感染者2例 治愈出院119例,http://wsjkw.sh.gov.cn/xwfb/20220409/52eee46f25a64af1a5f4e1ddb72c4324.html
上海2022年4月5日，新增本土新冠肺炎确诊病例311例 新增本土无症状感染者16766例 新增境外输入性新冠肺炎确诊病例4例 新增境外输入性无症状感染者1例 治愈出院41例,http://wsjkw.sh.gov.cn/xwfb/20220406/9873e70ae1d14cdcb2c9b6e8c9f8a8ba.html
上海2022年4月6日，新增本土新冠肺炎确诊病例322例 新增本土无症状感染者19660例 新增境外输入性新冠肺炎确诊病例7例 新增境外输入性无症状感染者1例 治愈出院47例,http://wsjkw.sh.gov.cn/xwfb/20220407/ca59cfd635a045c3b3cc4bd496b6eae2.html
上海2022年4月14日，新增本土新冠肺炎确诊病例3200例 新增本土无症状感染者19872例 无新增境外输入性新冠肺炎确诊病例 新增境外输入性无症状感染者1例 治愈出院549例  解除医学观察8071例,http://wsjkw.sh.gov.cn/xwfb/20220415/c68d08a1d5ac4ae3b8612559d19d489c.html
上海2022年4月12日，新增本土新冠肺炎确诊病例1189例 新增本土无症状感染者25141例 新增境外输入性新冠肺炎确诊病例1例 无新增境外输入性无症状感染者 治愈出院341例,http://wsjkw.sh.gov.cn/xwfb/20220413/56947d2bb86d433e8a6520825eeb66c0.html
上海2022年3月31日，新增本土新冠肺炎确诊病例358例 新增本土无症状感染者4144例 新增境外输入性新冠肺炎确诊病例7例 新增境外输入性无症状感染者1例 治愈出院26例,http://wsjkw.sh.gov.cn/xwfb/20220401/f08047a77e7347edafed1bdbb46e2547.html
上海2022年4月1日，新增本土新冠肺炎确诊病例260例 新增本土无症状感染者6051例 新增境外输入性新冠肺炎确诊病例2例 无新增境外输入性无症状感染者 治愈出院39例,http://wsjkw.sh.gov.cn/xwfb/20220402/7e9cc0574a4d4ef482c21286762c56fa.html
上海2022年4月3日，新增本土新冠肺炎确诊病例425例 新增本土无症状感染者8581例 新增境外输入性新冠肺炎确诊病例8例 新增境外输入性无症状感染者4例 治愈出院30例,http://wsjkw.sh.gov.cn/xwfb/20220404/b8e4ccf803f0481e84a84507accdb565.html
上海2022年4月2日，新增本土新冠肺炎确诊病例438例 新增本土无症状感染者7788例 新增境外输入性新冠肺炎确诊病例6例 新增境外输入性无症状感染者1例 治愈出院31例,http://wsjkw.sh.gov.cn/xwfb/20220403/58bcd8f1e6ad45c1b190ee81e3c02942.html
上海2022年3月30日，新增本土新冠肺炎确诊病例355例 新增本土无症状感染者5298例 新增境外输入性新冠肺炎确诊病例3例 新增境外输入性无症状感染者1例 治愈出院29例,http://wsjkw.sh.gov.cn/xwfb/20220331/81df7d8493ad493c8ca301bcfaa348ea.html
昨日新增本土新冠肺炎确诊病例96例、无症状感染者4381例，新增境外输入性确诊病例11例、无症状感染者1例,http://wsjkw.sh.gov.cn/xwfb/20220329/147ddbec518c4d26b5b4a4492dbf0650.html
上海2022年3月29日，新增本土新冠肺炎确诊病例326例 新增本土无症状感染者5656例 新增境外输入性新冠肺炎确诊病例3例 新增境外输入性无症状感染者2例 治愈出院45例,http://wsjkw.sh.gov.cn/xwfb/20220330/875ac4e3116341c1ab706b7b77a7ef31.html
上海2022年3月27日，新增本土新冠肺炎确诊病例50例 新增本土无症状感染者3450例 新增境外输入性新冠肺炎确诊病例10例 新增境外输入性无症状感染者4例 治愈出院37例,http://wsjkw.sh.gov.cn/xwfb/20220328/910b5fe239e44c24a2ca95b4e6483877.html
上海2022年3月24日，新增本土新冠肺炎确诊病例29例 新增本土无症状感染者1580例 新增境外输入性新冠肺炎确诊病例12例 新增境外输入性无症状感染者5例 治愈出院63例  解除医学观察无症状感染者209例,http://wsjkw.sh.gov.cn/xwfb/20220325/f2f2ffe5d70047c5bdc295baf6f211ec.html
